Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
ANATOMY 613,,,,18%,44%,27%,8%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANATOMY 852,,,,,,,,,,,,,,,,
ANESTH 599,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOINF 463,70%,100%,52%,3%,21%,37%,24%,10%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%
BIOINF 500,,,,,,,,,,,,,,,,
BIOINF 501,,,,,,,,,,,,,,,,
BIOINF 523,,,,31%,56%,10%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOINF 527,72%,81%,25%,10%,50%,16%,11%,9%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOINF 528,,,,10%,23%,19%,16%,13%,19%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOINF 540,77%,78%,,<1%,92%,7%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOINF 568,100%,100%,60%,8%,72%,12%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOINF 575,97%,86%,10%,7%,55%,27%,5%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOINF 590,,,,,,,,,,,,,,,,
BIOINF 602,58%,76%,24%,,,,,,,,,,,,,
BIOINF 603,58%,76%,24%,58%,32%,6%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOINF 606,,,,,,,,,,,,,,,,
BIOINF 622,94%,100%,20%,1%,79%,13%,5%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOINF 625,100%,100%,,,,,,,,,,,,,,
BIOINF 668,83%,88%,13%,18%,43%,28%,8%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLCHEM 212,34%,83%,48%,20%,23%,12%,11%,8%,8%,7%,5%,2%,1%,1%,1%,2%
BIOLCHEM 415,60%,87%,63%,5%,15%,12%,13%,20%,11%,6%,6%,4%,2%,3%,1%,2%
BIOLCHEM 416,62%,92%,41%,4%,57%,23%,6%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLCHEM 451,77%,89%,45%,9%,20%,15%,11%,17%,10%,6%,4%,3%,<1%,4%,<1%,2%
BIOLCHEM 501,72%,83%,13%,3%,42%,20%,11%,20%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
BIOLCHEM 505,78%,88%,12%,22%,25%,22%,6%,16%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLCHEM 515,60%,87%,63%,2%,16%,24%,23%,20%,8%,3%,2%,1%,<1%,1%,<1%,1%
BIOLCHEM 516,61%,92%,42%,29%,43%,24%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLCHEM 552,70%,84%,7%,,,,,,,,,,,,,
BIOLCHEM 591,,,,32%,65%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLCHEM 601,100%,,,,,,,,,,,,,,,
BIOLCHEM 650,,,,4%,49%,23%,11%,6%,4%,<1%,<1%,<1%,<1%,<1%,<1%,2%
BIOLCHEM 660,,,,12%,39%,22%,15%,10%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLCHEM 690,91%,100%,,19%,65%,16%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLCHEM 711,,,,13%,84%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
BIOLCHEM 712,,,,,,,,,,,,,,,,
BIOLCHEM 713,,,,,,,,,,,,,,,,
PIBS 503,,,,,,,,,,,,,,,,
PIBS 550,,,,53%,16%,26%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PIBS 750,,,,,,,,,,,,,,,,
PIBS 800,,,,59%,35%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CANCBIO 800,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CDB 503,,,,,,,,,,,,,,,,
CDB 530,,,,10%,39%,25%,11%,11%,3%,1%,1%,<1%,<1%,<1%,<1%,<1%
CDB 581,,,,18%,36%,20%,12%,9%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%
CDB 801,,,,,,,,,,,,,,,,
CMBIOL 630,,,,,,,,,,,,,,,,
CMBIOL 850,,,,,,,,,,,,,,,,
HHCR 700,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HHCR 710,,,,12%,69%,15%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HHCR 720,,,,5%,95%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HHCR 730,,,,1%,98%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HHCR 740,,,,1%,98%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HUMGEN 541,64%,97%,70%,3%,26%,23%,23%,22%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HUMGEN 544,61%,94%,46%,11%,25%,21%,23%,10%,8%,<1%,1%,<1%,<1%,1%,<1%,<1%
HUMGEN 575,97%,86%,10%,7%,55%,27%,5%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HUMGEN 606,,,,,,,,,,,,,,,,
HUMGEN 630,,,,,,,,,,,,,,,,
HUMGEN 632,,,,,,,,,,,,,,,,
HUMGEN 640,100%,100%,,,,,,,,,,,,,,
HUMGEN 641,100%,100%,7%,8%,72%,13%,5%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
HUMGEN 642,95%,83%,,,,,,,,,,,,,,
HUMGEN 647,78%,100%,,,,,,,,,,,,,,
HUMGEN 649,100%,100%,,,,,,,,,,,,,,
HUMGEN 650,100%,100%,,,,,,,,,,,,,,
HUMGEN 659,,,,,,,,,,,,,,,,
HUMGEN 821,51%,81%,8%,6%,91%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
IMMUNO 815,,,,,,,,,,,,,,,,
IMMUNO 851,,,,33%,67%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
INTMED 409,,,,19%,22%,34%,12%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
INTMED 460,83%,97%,27%,16%,15%,19%,16%,15%,5%,7%,2%,1%,1%,<1%,2%,<1%
INTMED 603,,,,,,,,,,,,,,,,
INTMED 604,,,,,,,,,,,,,,,,
INTMED 605,,,,,,,,,,,,,,,,
INTMED 606,,,,,,,,,,,,,,,,
INTMED 607,,,,,,,,,,,,,,,,
INTMED 608,,,,,,,,,,,,,,,,
INTMED 611,,,,,,,,,,,,,,,,
LHS 600,,,,,,,,,,,,,,,,
LHS 621,93%,92%,61%,27%,30%,20%,3%,10%,10%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LHS 650,100%,89%,22%,<1%,60%,30%,5%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LHS 660,45%,70%,36%,<1%,40%,28%,15%,8%,9%,1%,<1%,<1%,<1%,<1%,<1%,<1%
LHS 665,,,,,,,,,,,,,,,,
LHS 668,83%,88%,13%,18%,43%,28%,8%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LHS 721,,,,,,,,,,,,,,,,
MEDEDUC 889,,,,,,,,,,,,,,,,
MEDADM 515,,,,,,,,,,,,,,,,
MICRBIOL 350,54%,94%,7%,46%,31%,13%,6%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
MICRBIOL 405,74%,88%,9%,4%,28%,13%,17%,19%,8%,4%,4%,2%,1%,<1%,<1%,<1%
MICRBIOL 409,,,,19%,22%,34%,12%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
MICRBIOL 460,83%,97%,27%,16%,15%,19%,16%,15%,5%,7%,2%,1%,1%,<1%,2%,<1%
MICRBIOL 532,,,,,,,,,,,,,,,,
MICRBIOL 550,100%,100%,50%,,,,,,,,,,,,,
MICRBIOL 632,,,,,,,,,,,,,,,,
MICRBIOL 640,90%,91%,36%,11%,21%,21%,26%,12%,7%,<1%,4%,<1%,<1%,<1%,<1%,<1%
MICRBIOL 641,88%,100%,,,,,,,,,,,,,,
MICRBIOL 812,43%,73%,3%,,,,,,,,,,,,,
NEUROL 455,,,,6%,46%,40%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
NEUROL 470,100%,100%,12%,5%,38%,19%,27%,11%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
NEUROL 471,,,,,,,,,,,,,,,,
NEUROSCI 503,,,,,,,,,,,,,,,,
NEUROSCI 570,,,,29%,31%,4%,14%,22%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
NEUROSCI 571,,,,<1%,53%,<1%,<1%,47%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
NEUROSCI 601,,,,,,,,,,,,,,,,
NEUROSCI 611,,,,6%,27%,22%,22%,20%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
NEUROSCI 612,,,,10%,45%,20%,14%,7%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
NEUROSCI 613,,,,14%,67%,16%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
NEUROSCI 623,,,,22%,36%,23%,14%,1%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
NEUROSCI 700,,,,2%,97%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
NEUROSCI 701,,,,,,,,,,,,,,,,
NEUROSCI 704,,,,,,,,,,,,,,,,
OPHTH 725,,,,,,,,,,,,,,,,
OPHTH 733,,,,,,,,,,,,,,,,
OPHTH 804,,,,,,,,,,,,,,,,
PATH 582,,,,,,,,,,,,,,,,
PATH 585,,,,,,,,,,,,,,,,
PATH 850,,,,5%,80%,11%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PATH 862,,,,,,,,,,,,,,,,
PHRMACOL 310,97%,100%,20%,19%,33%,16%,8%,5%,8%,6%,2%,<1%,2%,<1%,<1%,3%
PHRMACOL 501,72%,83%,13%,3%,42%,20%,11%,20%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
PHRMACOL 502,92%,94%,71%,3%,85%,7%,2%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHRMACOL 591,,,,32%,65%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHRMACOL 601,91%,97%,63%,7%,29%,30%,21%,8%,2%,<1%,<1%,1%,<1%,<1%,<1%,1%
PHRMACOL 603,74%,96%,35%,13%,29%,37%,11%,6%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHRMACOL 604,20%,40%,20%,,,,,,,,,,,,,
PHRMACOL 614,91%,91%,9%,26%,29%,17%,12%,9%,5%,<1%,1%,<1%,<1%,<1%,<1%,1%
PHRMACOL 620,,,,24%,42%,21%,12%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHRMACOL 621,82%,91%,23%,2%,52%,32%,8%,5%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
PHRMACOL 622,94%,100%,20%,1%,79%,13%,5%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHRMACOL 625,100%,100%,,,,,,,,,,,,,,
PHRMACOL 626,,,,,,,,,,,,,,,,
PHRMACOL 627,,,,,,,,,,,,,,,,
PHRMACOL 640,,,,,,,,,,,,,,,,
PHRMACOL 646,92%,100%,2%,,,,,,,,,,,,,
PMR 510,,,,,,,,,,,,,,,,
PMR 580,93%,93%,6%,2%,89%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHYSIOL 201,,,,7%,16%,12%,14%,14%,11%,6%,8%,3%,3%,3%,1%,2%
PHYSIOL 404,,,,9%,46%,22%,15%,6%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHYSIOL 406,,,,,,,,,,,,,,,,
PHYSIOL 502,,,,3%,18%,19%,15%,17%,9%,8%,6%,3%,1%,2%,<1%,<1%
PHYSIOL 505,,,,,,,,,,,,,,,,
PHYSIOL 506,,,,,,,,,,,,,,,,
PHYSIOL 519,66%,85%,42%,5%,21%,18%,22%,30%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHYSIOL 576,,,,12%,32%,18%,19%,18%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHYSIOL 577,,,,4%,15%,11%,36%,34%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHYSIOL 591,,,,32%,65%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHYSIOL 605,,,,30%,43%,20%,5%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
PHYSIOL 606,,,,,,,,,,,,,,,,
PHYSIOL 615,,,,,,,,,,,,,,,,
PHYSIOL 616,,,,,,,,,,,,,,,,
PHYSIOL 822,,,,,,,,,,,,,,,,
MEDPREP 401,,,,,,,,,,,,,,,,
MEDPREP 403,,,,,,,,,,,,,,,,
MEDPREP 470,100%,100%,12%,5%,38%,19%,27%,11%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
MEDPREP 471,,,,,,,,,,,,,,,,
ARTSADMN 406,84%,91%,6%,23%,58%,12%,2%,2%,1%,<1%,1%,<1%,<1%,<1%,<1%,1%
ARTSADMN 410,,,,6%,81%,6%,<1%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 421,,,,<1%,46%,38%,8%,<1%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 422,100%,100%,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 423,,,,10%,71%,10%,10%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 426,69%,91%,,2%,84%,6%,5%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,1%
ARTSADMN 432,,,,38%,50%,3%,<1%,<1%,3%,<1%,3%,3%,<1%,<1%,<1%,<1%
ARTSADMN 450,86%,86%,14%,7%,71%,14%,4%,<1%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 475,,,,52%,38%,<1%,7%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 506,85%,92%,11%,16%,67%,9%,2%,4%,<1%,1%,1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 510,,,,12%,71%,<1%,<1%,12%,<1%,<1%,6%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 521,,,,<1%,64%,27%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 522,100%,100%,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 523,,,,5%,53%,26%,10%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 526,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 532,,,,25%,62%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,12%
ARTSADMN 535,,,,<1%,<1%,25%,50%,25%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 550,86%,86%,14%,12%,44%,38%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARTSADMN 575,,,,50%,46%,<1%,<1%,<1%,<1%,<1%,4%,<1%,<1%,<1%,<1%,<1%
CELLO 450,100%,95%,10%,<1%,97%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CELLO 550,100%,95%,10%,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CHAMBER 410,,,,,,,,,,,,,,,,
CHAMBER 470,,,,,,,,,,,,,,,,
CHAMBER 510,,,,,,,,,,,,,,,,
CHAMBER 570,,,,,,,,,,,,,,,,
CLARINET 111,100%,100%,,,,,,,,,,,,,,
COMP 221,,,,<1%,76%,15%,1%,5%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
COMP 415,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
COMP 416,,,,2%,98%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
COMP 421,,,,<1%,95%,3%,<1%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
COMP 450,70%,87%,7%,10%,83%,4%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
COMP 515,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
COMP 526,,,,8%,90%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
COMP 550,,,,10%,88%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
COMP 850,,,,12%,85%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CONDUCT 315,75%,100%,8%,3%,55%,17%,6%,10%,4%,3%,2%,<1%,<1%,<1%,<1%,<1%
CONDUCT 415,,,,,,,,,,,,,,,,
CONDUCT 442,61%,64%,29%,8%,30%,29%,9%,19%,4%,<1%,1%,<1%,<1%,<1%,<1%,<1%
CONDUCT 501,,,,24%,49%,13%,8%,2%,2%,2%,2%,<1%,<1%,<1%,<1%,<1%
CONDUCT 502,,,,,,,,,,,,,,,,
CONDUCT 503,,,,<1%,97%,<1%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CONDUCT 504,,,,,,,,,,,,,,,,
CONDUCT 505,,,,<1%,97%,1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
CONDUCT 595,61%,64%,29%,,,,,,,,,,,,,
CONDUCT 601,,,,,,,,,,,,,,,,
CONDUCT 602,,,,,,,,,,,,,,,,
CONDUCT 603,,,,<1%,65%,22%,9%,2%,<1%,<1%,<1%,<1%,<1%,<1%,2%,<1%
DANCE 100,92%,91%,7%,32%,57%,6%,2%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 101,80%,76%,6%,9%,39%,37%,14%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 103,82%,100%,,2%,21%,52%,22%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 111,96%,100%,,<1%,94%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 113,97%,95%,,<1%,93%,6%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 121,76%,79%,26%,5%,90%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 127,89%,97%,14%,10%,80%,8%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 131,72%,87%,33%,2%,77%,16%,2%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 201,82%,73%,,7%,80%,7%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 203,,,,30%,48%,9%,4%,7%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 211,96%,100%,,13%,78%,6%,<1%,1%,<1%,1%,1%,<1%,<1%,<1%,<1%,<1%
DANCE 213,,,,9%,84%,5%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 221,76%,79%,26%,12%,83%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 227,89%,97%,14%,13%,76%,6%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 231,,,,19%,73%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 241,82%,100%,7%,12%,27%,24%,20%,8%,8%,1%,1%,<1%,<1%,<1%,<1%,<1%
DANCE 242,,,,18%,46%,9%,15%,3%,6%,<1%,3%,<1%,<1%,<1%,<1%,<1%
DANCE 265,,,,<1%,62%,31%,4%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 291,,,,13%,54%,24%,4%,1%,<1%,3%,1%,<1%,<1%,<1%,<1%,<1%
DANCE 301,,,,31%,54%,8%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 303,,,,32%,61%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 311,,,,2%,92%,2%,<1%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 313,,,,13%,76%,11%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 321,76%,79%,26%,22%,78%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 327,89%,97%,14%,19%,71%,6%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 335,,,,3%,96%,1%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 391,,,,12%,82%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 401,,,,14%,86%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 403,,,,6%,88%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 411,,,,31%,62%,5%,<1%,<1%,<1%,<1%,3%,<1%,<1%,<1%,<1%,<1%
DANCE 413,,,,11%,76%,11%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 421,76%,79%,26%,22%,78%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 427,89%,97%,14%,22%,67%,3%,<1%,3%,3%,<1%,2%,<1%,<1%,<1%,<1%,<1%
DANCE 448,,,,,,,,,,,,,,,,
DANCE 481,,,,4%,64%,21%,4%,<1%,4%,4%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 491,,,,15%,72%,8%,<1%,<1%,<1%,2%,<1%,<1%,<1%,4%,<1%,<1%
DANCE 493,,,,<1%,77%,23%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 496,,,,<1%,79%,12%,<1%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,4%
DANCE 498,,,,,,,,,,,,,,,,
DANCE 501,67%,67%,33%,,,,,,,,,,,,,
DANCE 511,94%,92%,,32%,52%,12%,<1%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 513,94%,98%,5%,10%,87%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 521,79%,82%,22%,25%,75%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 524,100%,100%,33%,,,,,,,,,,,,,
DANCE 531,100%,100%,33%,,,,,,,,,,,,,
DANCE 534,,,,<1%,86%,8%,2%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 537,,,,,,,,,,,,,,,,
DANCE 538,,,,,,,,,,,,,,,,
DANCE 547,,,,,,,,,,,,,,,,
DANCE 548,,,,,,,,,,,,,,,,
DANCE 570,,,,,,,,,,,,,,,,
DANCE 580,,,,,,,,,,,,,,,,
DANCE 583,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 611,94%,91%,,38%,46%,12%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 613,93%,98%,5%,10%,77%,13%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 618,,,,,,,,,,,,,,,,
DANCE 621,79%,82%,22%,20%,80%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 631,100%,50%,,,,,,,,,,,,,,
DANCE 634,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
DANCE 637,,,,,,,,,,,,,,,,
DANCE 638,,,,,,,,,,,,,,,,
DANCE 643,,,,,,,,,,,,,,,,
DANCE 647,,,,,,,,,,,,,,,,
DANCE 648,,,,,,,,,,,,,,,,
DBLBASS 450,,,,8%,77%,8%,1%,3%,1%,<1%,<1%,1%,<1%,<1%,<1%,1%
DBLBASS 550,,,,5%,80%,<1%,10%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARLYMUS 450,,,,6%,89%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARLYMUS 550,,,,14%,86%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
EARLYMUS 587,,,,,,,,,,,,,,,,
ENS 181,,,,<1%,31%,19%,14%,22%,8%,3%,3%,<1%,<1%,<1%,<1%,<1%
ENS 325,,,,8%,68%,18%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 326,,,,,,,,,,,,,,,,
ENS 335,86%,83%,18%,4%,88%,5%,<1%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 344,95%,86%,6%,27%,70%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 345,81%,81%,25%,6%,84%,3%,2%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 346,97%,86%,2%,50%,49%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 347,81%,90%,16%,<1%,96%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 348,98%,88%,58%,65%,33%,1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 349,63%,79%,19%,5%,68%,14%,6%,3%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
ENS 350,62%,76%,29%,<1%,87%,7%,3%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 351,,,,18%,76%,5%,1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 352,,,,<1%,91%,4%,<1%,3%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%
ENS 353,99%,93%,49%,4%,88%,4%,2%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 354,100%,100%,,,,,,,,,,,,,,
ENS 356,98%,82%,26%,59%,39%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 360,,,,46%,54%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ENS 400,85%,95%,10%,13%,83%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
